Code   | Set Name                                           | Cards | Release Date | Type
10E    | Tenth Edition                                      | 383   | 2007-07-12   | Core
2ED    | Unlimited Edition                                  | 302   | 1993-11-30   | Core
2X2    | Double Masters 2022                                | 332   | 2022-07-07   | Masters
2XM    | Double Masters                                     | 332   | 2020-08-06   | Masters
30A    | 30th Anniversary Edition                           | 297   | 2022-11-27   | Memorabilia 
30A    | 30th Anniversary Promos                            | 33    | 2022-09-01   | Promo 
3ED    | Revised Edition                                    | 306   | 1994-03-31   | Core 
40K    | "Warhammer 40,000"                                 | 308   | 2022-10-06   | Commander 
40K    | "Warhammer 40,000 Collector's Edition"             | 308   | 2022-10-06   | Unknown 
4ED    | Fourth Edition                                     | 378   | 1995-03-31   | Core 
5DN    | Fifth Dawn                                         | 165   | 2004-06-03   | Expansion 
5ED    | Fifth Edition                                      | 449   | 1997-03-23   | Core
6ED    | Classic Sixth Edition                              | 350   | 1999-04-27   | Core
7ED    | Seventh Edition                                    | 350   | 2001-04-10   | Core
8ED    | Eighth Edition                                     | 357   | 2003-07-27   | Core
9ED    | Ninth Edition                                      | 359   | 2005-07-28   | Core
A25    | Masters 25                                         | 249   | 2018-03-15   | Masters
AATDM  | Tarkir: Dragonstorm Art Series                     | 54    | 2025-04-10   | Memorabilia 
ACR    | Assassin's Creed                                   | 110   | 2024-07-04   | Draft innovation 
ACR    | Assassin's Creed Starter Kit                       | 32    | 2024-07-04   | Unknown 
ACR    | Assassin's Creed Variants                          | 161   | 2024-07-04   | Unknown 
AER    | Aether Revolt                                      | 194   | 2017-01-19   | Expansion
AFC    | Forgotten Realms Commander                         | 275   | 2021-07-22   | Commander
AFR    | Adventures in the Forgotten Realms                 | 281   | 2021-07-22   | Expansion
AKH    | Amonkhet                                           | 287   | 2017-04-27   | Expansion
ALA    | Shards of Alara                                    | 249   | 2008-10-02   | Expansion
ALL    | Alliances                                          | 199   | 1996-06-09   | Expansion
APAC   | Asia-Pacific Lands                                 | 15    | 1998-08-31   | Unknown
APC    | Apocalypse                                         | 143   | 2001-06-03   | Expansion
ARB    | Alara Reborn                                       | 145   | 2009-04-29   | Expansion
ARC    | Archenemy                                          | 150   | 2010-06-17   | Archenemy
ARL    | Arena Promos                                       | 83    | 1996-07-03   | Unknown
ARN    | Arabian Nights                                     | 92    | 1993-11-30   | Expansion
ASACR  | Assassin's Creed Art Series                        | 20    | 2024-07-04   | Memorabilia
ASAFR  | Adventures in the Forgotten Realms Art Series      | 81    | 2021-07-22   | Memorabilia
ASBLB  | Bloomburrow Art Series                             | 54    | 2024-08-01   | Memorabilia
ASBRO  | The Brothers' War Art Series                       | 81    | 2022-11-17   | Memorabilia
ASCLB  | Battle for Baldur's Gate Art Series                | 81    | 2022-06-09   | Memorabilia
ASCMM  | Commander Masters Art Series                       | 81    | 2023-08-03   | Memorabilia
ASDFT  | Aetherdrift Art Series                             | 54    | 2025-02-13   | Memorabilia
ASDMU  | Dominaria United Art Series                        | 81    | 2022-09-08   | Memorabilia
ASDSK  | Duskmourn: House of Horror Art Series              | 54    | 2024-09-26   | Memorabilia
ASEOE  | Edge of Eternities Art Series                      | 54    | 2025-07-31   | Memorabilia
ASFDN  | Foundations Art Series                             | 55    | 2024-11-14   | Memorabilia
ASFIN  | Final Fantasy Art Series                           | 53    | 2025-06-12   | Memorabilia
ASINR  | Innistrad Remastered Art Series                    | 25    | 2025-01-23   | Memorabilia
ASKHM  | Kaldheim Art Series                                | 81    | 2021-02-04   | Memorabilia
ASLCI  | The Lost Caverns of Ixalan Art Series              | 81    | 2023-11-16   | Memorabilia
ASLTR  | Tales of Middle-earth Art Series                   | 81    | 2023-06-22   | Memorabilia
ASMH1  | Modern Horizons Art Series                         | 54    | 2019-06-04   | Memorabilia
ASMH2  | Modern Horizons 2 Art Series                       | 81    | 2021-06-17   | Memorabilia
ASMH2  | Modern Horizons 2 Art Series (Signed)              | 81    | 2021-06-17   | Memorabilia
ASMH3  | Modern Horizons 3 Art Series                       | 54    | 2024-06-13   | Memorabilia
ASMID  | Midnight Hunt Art Series                           | 81    | 2021-09-23   | Memorabilia
ASMKM  | Murders at Karlov Manor Art Series                 | 49    | 2024-02-08   | Memorabilia
ASMOM  | March of the Machine Art Series                    | 81    | 2023-04-20   | Memorabilia
ASNEO  | Neon Dynasty Art Series                            | 81    | 2022-02-17   | Memorabilia
ASONE  | Phyrexia: All Will Be One Art Series               | 81    | 2023-02-02   | Memorabilia
