  code  |                     name                      | base_size | card_count | release_date |       type
 10e    | Tenth Edition                                 |       383 |        510 | 2007-07-13   | core
 2ed    | Unlimited Edition                             |       302 |        302 | 1993-12-01   | core
 2x2    | Double Masters 2022                           |       331 |        579 | 2022-07-08   | masters
 2xm    | Double Masters                                |       332 |        384 | 2020-08-07   | masters
 30a    | 30th Anniversary Edition                      |       594 |        594 | 2022-11-28   | memorabilia
 3ed    | Revised Edition                               |       306 |        306 | 1994-04-11   | core
 40k    | Warhammer 40,000 Commander                    |       617 |        617 | 2022-10-07   | commander
 4bb    | Fourth Edition Foreign Black Border           |       378 |        378 | 1995-04-01   | core
 4ed    | Fourth Edition                                |       378 |        379 | 1995-04-01   | core
 5dn    | Fifth Dawn                                    |       165 |        165 | 2004-06-04   | expansion
 5ed    | Fifth Edition                                 |       455 |        460 | 1997-03-24   | core
 6ed    | Classic Sixth Edition                         |       350 |        351 | 1999-04-21   | core
 7ed    | Seventh Edition                               |       350 |        708 | 2001-04-11   | core
 8ed    | Eighth Edition                                |       350 |        710 | 2003-07-28   | core
 9ed    | Ninth Edition                                 |       350 |        709 | 2005-07-29   | core
 a25    | Masters 25                                    |       249 |        249 | 2018-03-16   | masters
 acr    | Assassin's Creed                              |       110 |        309 | 2024-07-05   | draft_innovation
 aer    | Aether Revolt                                 |       184 |        197 | 2017-01-20   | expansion
 afc    | Forgotten Realms Commander                    |        62 |        331 | 2021-07-23   | commander
 afr    | Adventures in the Forgotten Realms            |       281 |        402 | 2021-07-23   | expansion
 akh    | Amonkhet                                      |       269 |        287 | 2017-04-28   | expansion
 ala    | Shards of Alara                               |       249 |        250 | 2008-10-03   | expansion
 all    | Alliances                                     |       199 |        199 | 1996-06-10   | expansion
 apc    | Apocalypse                                    |       143 |        143 | 2001-06-04   | expansion
 arb    | Alara Reborn                                  |       145 |        145 | 2009-04-30   | expansion
 arc    | Archenemy                                     |       150 |        150 | 2010-06-18   | archenemy
 arn    | Arabian Nights                                |        78 |         92 | 1993-12-17   | expansion
 ath    | Anthologies                                   |        85 |         85 | 1998-11-01   | box
